,DraftYr,Rk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%
1755,2020,7,DET,Killian Hayes,,2,72,1793,461,202,325,0.358,0.276,0.818
1756,2020,8,NYK,Obi Toppin,Dayton,2,116,1496,646,331,77,0.505,0.264,0.746
1757,2020,9,WAS,Deni Avdija,,2,112,2616,790,557,159,0.43,0.311,0.726
1758,2020,10,PHO,Jalen Smith,Maryland,2,60,622,276,201,14,0.475,0.275,0.754
1759,2020,11,SAS,Devin Vassell,Florida State,2,113,2367,929,389,142,0.424,0.346,0.822
1760,2020,12,SAC,Tyrese Haliburton,Iowa State,2,113,3658,1563,389,732,0.466,0.413,0.841
1761,2020,13,NOP,Kira Lewis Jr.,Alabama,2,78,1245,484,110,173,0.391,0.298,0.841
1762,2020,14,BOS,Aaron Nesmith,Vanderbilt,2,87,1112,363,197,36,0.411,0.31,0.809
1763,2020,15,ORL,Cole Anthony,UNC,2,93,2789,1420,488,463,0.397,0.337,0.845
1764,2020,16,POR,Isaiah Stewart,Washington,2,118,2754,952,874,114,0.539,0.276,0.683
1765,2020,17,MIN,Aleksej Pokusevski,,2,87,1786,596,394,147,0.358,0.278,0.69
1766,2020,18,DAL,Josh Green,Arizona,2,83,1078,294,173,86,0.484,0.25,0.655
1767,2020,19,BRK,Saddiq Bey,Villanova,2,128,3859,1782,655,258,0.395,0.364,0.836
1768,2020,20,MIA,Precious Achiuwa,Memphis,2,109,1844,662,539,84,0.471,0.3,0.538
1769,2020,21,PHI,Tyrese Maxey,Kentucky,2,112,2751,1350,284,356,0.466,0.358,0.871
1770,2020,22,DEN,Zeke Nnaji,Arizona,2,81,1048,401,209,25,0.518,0.452,0.649
1771,2020,23,NYK,Leandro Bolmaro,,1,25,188,28,35,11,0.281,0.167,0.889
1772,2020,24,MIL,R.J. Hampton,,2,93,1703,655,301,189,0.41,0.34,0.64
1773,2020,25,OKC,Immanuel Quickley,Kentucky,2,119,2413,1246,264,291,0.383,0.361,0.899
1774,2020,26,BOS,Payton Pritchard,Oregon,2,115,1871,740,235,205,0.419,0.394,0.915
1775,2020,27,UTA,Udoka Azubuike,Kansas,2,30,235,88,75,0,0.698,,0.667
1776,2020,28,LAL,Jaden McDaniels,Washington,2,119,2981,925,471,137,0.446,0.33,0.706
1777,2020,29,TOR,Malachi Flynn,San Diego State,2,81,1233,451,154,173,0.369,0.314,0.785
1778,2020,30,BOS,Desmond Bane,TCU,2,124,3210,1625,462,258,0.464,0.424,0.879
1779,2020,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333
1780,2020,32,CHA,Vernon Carey Jr.,Duke,2,24,133,54,32,2,0.5,0.143,0.786
1781,2020,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706
1782,2020,34,PHI,Théo Maledon,,2,96,2218,791,262,263,0.359,0.317,0.774
1783,2020,35,SAC,Xavier Tillman Sr.,Michigan State,2,98,1595,566,372,115,0.522,0.29,0.644
1784,2020,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6
1785,2020,37,WAS,Vit Krejci,,1,6,31,6,5,2,0.333,0,1
1786,2020,38,UTA,Saben Lee,Vanderbilt,2,76,1188,404,163,238,0.437,0.299,0.712
1787,2020,39,NOP,Elijah Hughes,Syracuse,2,35,219,81,34,15,0.337,0.306,0.857
1788,2020,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5
1789,2020,41,SAS,Tre Jones,Duke,2,83,888,315,106,151,0.492,0.24,0.883
1790,2020,42,NOP,Nick Richards,Kentucky,2,59,407,155,91,15,0.656,0,0.712
1791,2020,43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,0.406,0.27,0.632
1792,2020,44,CHI,Marko Simonovic,,1,9,35,17,10,0,0.267,0.2,0.727
1793,2020,45,MIL,Jordan Nwora,Louisville,2,76,1178,552,230,53,0.423,0.389,0.771
1794,2020,46,POR,CJ Elleby,Washington State,2,65,722,219,135,49,0.388,0.26,0.78
1795,2020,47,BOS,Yam Madar,,,,,,,,,,
1796,2020,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821
1797,2020,49,PHI,Isaiah Joe,Arkansas,2,82,885,309,82,48,0.356,0.349,0.844
1798,2020,50,ATL,Skylar Mays,LSU,2,56,476,202,60,46,0.472,0.338,0.882
1799,2020,51,GSW,Justinian Jessup,Boise State,,,,,,,,,
1800,2020,52,SAC,Kenyon Martin Jr.,,2,100,2165,892,456,120,0.518,0.338,0.68
1801,2020,53,OKC,Cassius Winston,Michigan State,2,26,121,51,9,16,0.436,0.455,0.875
1802,2020,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895
1803,2020,55,BRK,Jay Scrubb,John A. Logan College,2,22,205,84,30,9,0.39,0.267,0.8
1804,2020,56,CHA,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,
1805,2020,57,LAC,Reggie Perry,Mississippi State,2,29,262,91,81,16,0.42,0.217,0.8
1806,2020,58,PHI,Paul Reed,DePaul,2,50,406,146,126,22,0.5,0,0.444
1807,2020,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778
1808,2020,60,NOP,Sam Merrill,Utah State University,2,36,291,114,37,25,0.417,0.4,0.75
1689,2019,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683
1690,2019,2,MEM,Ja Morant,Murray State,3,176,5653,3630,780,1269,0.473,0.321,0.752
1691,2019,3,NYK,RJ Barrett,Duke,3,176,5802,2930,965,485,0.421,0.364,0.687
1692,2019,4,LAL,De'Andre Hunter,Virginia,3,116,3569,1513,498,192,0.434,0.356,0.778
1693,2019,5,CLE,Darius Garland,Vanderbilt,3,160,5240,2622,396,932,0.444,0.375,0.877
1694,2019,6,PHO,Jarrett Culver,Texas Tech,3,124,2253,862,355,160,0.407,0.29,0.505
1695,2019,7,CHI,Coby White,UNC,3,173,4931,2446,635,613,0.415,0.366,0.847
1696,2019,8,ATL,Jaxson Hayes,Texas,3,171,2845,1328,701,114,0.647,0.318,0.716
1697,2019,9,WAS,Rui Hachimura,Gonzaga,3,123,3571,1598,665,187,0.471,0.335,0.796
1698,2019,10,ATL,Cam Reddish,Duke,3,127,3202,1353,412,164,0.384,0.325,0.841
1699,2019,11,MIN,Cameron Johnson,UNC,3,172,4123,1730,617,229,0.439,0.389,0.835
1700,2019,12,CHA,P.J. Washington,Kentucky,3,165,4805,1955,976,370,0.446,0.38,0.702
1701,2019,13,MIA,Tyler Herro,Kentucky,3,155,4647,2478,713,486,0.431,0.375,0.852
1702,2019,14,BOS,Romeo Langford,Indiana,3,94,1381,342,180,45,0.396,0.305,0.662
1703,2019,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693
1704,2019,16,ORL,Chuma Okeke,Auburn,2,94,2303,751,409,177,0.397,0.323,0.795
1705,2019,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,145,2920,1414,393,330,0.388,0.33,0.715
1706,2019,18,IND,Goga Bitadze,,3,134,1445,575,357,87,0.446,0.214,0.687
1707,2019,19,SAS,Luka Šamanić,,2,36,356,138,78,21,0.43,0.294,0.576
1708,2019,20,BOS,Matisse Thybulle,Washington,3,173,3719,802,328,192,0.441,0.319,0.598
1709,2019,21,OKC,Brandon Clarke,Gonzaga,3,162,3582,1784,920,240,0.587,0.294,0.717
1710,2019,22,BOS,Grant Williams,Tennessee,3,187,3459,941,533,193,0.45,0.378,0.734
1711,2019,23,UTA,Darius Bazley,,3,169,4293,1618,990,211,0.397,0.305,0.699
1712,2019,24,PHI,Ty Jerome,Virginia,3,112,1917,795,215,273,0.398,0.344,0.784
1713,2019,25,POR,Nassir Little,UNC,3,138,2301,802,472,99,0.455,0.317,0.727
1714,2019,26,CLE,Dylan Windler,Belmont,2,68,857,255,169,58,0.435,0.359,0.778
1715,2019,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,0.388,0.314,0.84
1716,2019,28,GSW,Jordan Poole,Michigan,3,161,3791,1982,375,417,0.404,0.325,0.874
1717,2019,29,SAS,Keldon Johnson,Kentucky,3,141,3989,1898,797,237,0.481,0.396,0.749
1718,2019,30,MIL,Kevin Porter Jr.,USC,3,115,3170,1463,415,514,0.421,0.347,0.68
1719,2019,31,BRK,Nic Claxton,Georgia,3,72,1311,506,350,65,0.621,0.167,0.522
1720,2019,32,PHO,KZ Okpala,Stanford,3,63,717,176,114,34,0.406,0.273,0.607
1721,2019,33,PHI,Carsen Edwards,Purdue,2,68,627,244,73,38,0.372,0.302,0.75
