,DraftYr,Rk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%
1607,2017,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776
1608,2017,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78
1609,2017,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,0.389,0.35,0.669
1610,2017,42,UTA,Thomas Bryant,Indiana,5,159,3263,1661,927,211,0.593,0.356,0.755
1611,2017,43,HOU,Isaiah Hartenstein,,4,144,1804,744,525,175,0.591,0.308,0.67
1612,2017,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711
1613,2017,45,HOU,Dillon Brooks,Oregon,5,261,7376,3752,796,515,0.42,0.351,0.8
1614,2017,46,PHI,Sterling Brown,SMU,5,253,4329,1410,862,262,0.423,0.37,0.791
1615,2017,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833
1616,2017,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672
1617,2017,49,DEN,Vlatko Čančar,,3,69,478,162,83,30,0.484,0.333,0.793
1618,2017,50,PHI,Mathias Lessort,,,,,,,,,,
1619,2017,51,DEN,Monte Morris,Iowa State,5,257,6388,2660,583,934,0.478,0.388,0.823
1620,2017,52,NOP,Edmond Sumner,Xavier,4,108,1520,619,165,114,0.474,0.333,0.728
1621,2017,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757
1622,2017,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8
1623,2017,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1
1624,2017,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462
1625,2017,57,BRK,Sasha Vezenkov,,,,,,,,,,
1626,2017,58,NYK,Ognjen Jaramaz,,,,,,,,,,
1627,2017,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769
1628,2017,60,ATL,Alpha Kaba,,,,,,,,,,
1509,2016,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,0.56,0.147,0.597
1510,2016,2,LAL,Brandon Ingram,Duke,6,358,11756,6559,1832,1346,0.459,0.362,0.765
1511,2016,3,BOS,Jaylen Brown,California,6,383,10918,6177,1891,741,0.47,0.373,0.712
1512,2016,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654
1513,2016,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,0.42,0.305,0.727
1514,2016,6,NOP,Buddy Hield,Oklahoma,6,446,12906,7070,1895,1076,0.429,0.399,0.863
1515,2016,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,0.446,0.367,0.878
1516,2016,8,SAC,Marquese Chriss,Washington,6,281,5248,2167,1343,293,0.456,0.29,0.666
1517,2016,9,TOR,Jakob Poeltl,Utah,6,397,7853,2762,2339,550,0.627,0.667,0.514
1518,2016,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68
1519,2016,11,ORL,Domantas Sabonis,Gonzaga,6,404,11431,5747,3676,1428,0.533,0.32,0.727
1520,2016,12,UTA,Taurean Prince,Baylor,6,348,8480,3667,1378,619,0.414,0.372,0.819
1521,2016,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857
1522,2016,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787
1523,2016,15,DEN,Juancho Hernangómez,,6,282,4362,1487,948,177,0.424,0.345,0.693
1524,2016,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682
1525,2016,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776
1526,2016,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773
1527,2016,19,DEN,Malik Beasley,Florida State,6,316,6545,3239,774,388,0.429,0.38,0.808
1528,2016,20,IND,Caris LeVert,Michigan,6,303,8318,4444,1158,1197,0.436,0.333,0.737
1529,2016,21,ATL,DeAndre' Bembry,Saint Joseph's,6,288,5593,1744,939,527,0.475,0.283,0.611
1530,2016,22,CHA,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783
1531,2016,23,BOS,Ante Žižić,,3,113,1517,674,446,64,0.581,,0.711
1532,2016,24,PHI,Timothé Luwawu-Cabarrot,,6,312,5021,1859,623,279,0.39,0.334,0.828
1533,2016,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6
1534,2016,26,PHI,Furkan Korkmaz,,5,240,4603,1961,553,333,0.407,0.359,0.773
1535,2016,27,TOR,Pascal Siakam,New Mexico State,6,376,10866,5703,2323,1110,0.489,0.328,0.774
1536,2016,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748
1537,2016,29,SAS,Dejounte Murray,Washington,5,304,7681,3591,1789,1399,0.454,0.328,0.758
1538,2016,30,GSW,Damian Jones,Vanderbilt,6,180,2582,896,585,136,0.661,0.286,0.7
1539,2016,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635
1540,2016,32,LAL,Ivica Zubac,,6,339,6327,2750,2148,367,0.598,0.1,0.753
1541,2016,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,0.596,0.286,0.774
1542,2016,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808
1543,2016,35,BOS,Rade Zagorac,,,,,,,,,,
1544,2016,36,MIL,Malcolm Brogdon,Virginia,6,325,9780,4991,1357,1550,0.464,0.377,0.883
1545,2016,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,0.583,,1
1546,2016,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,0.42,0.305,0.785
1547,2016,39,NOP,David Michineau,,,,,,,,,,
1548,2016,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,0.231,,1
1549,2016,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,0.323,,0.6
1550,2016,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788
1551,2016,43,HOU,Zhou Qi,,2,19,125,24,22,2,0.212,0.105,0.667
1552,2016,44,ATL,Isaïa Cordinier,,,,,,,,,,
1553,2016,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667
1554,2016,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,0.405,0.5,0.45
1555,2016,47,ORL,Jake Layman,Maryland,6,232,3037,1140,405,125,0.459,0.297,0.72
1556,2016,48,CHI,Paul Zipser,,2,98,1667,458,256,82,0.371,0.335,0.769
1557,2016,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,0.1,0,1
1558,2016,50,IND,Georges Niang,Iowa State,6,283,3981,1667,563,228,0.435,0.402,0.865
1559,2016,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,0,0,
1560,2016,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,0.545,0.2,0.5
1561,2016,53,DEN,Petr Cornelie,,1,13,38,14,14,3,0.333,0.125,0.75
1562,2016,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,0.364,0.268,0.754
1563,2016,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,0.286,0.25,1
1564,2016,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,0.394,0.357,0.5
1565,2016,57,MEM,Wang Zhelin,,,,,,,,,,
1566,2016,58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,0.428,0.357,0.718
1567,2016,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,
1568,2016,60,UTA,Tyrone Wallace,California,3,106,1639,549,228,126,0.425,0.203,0.671
1449,2015,1,MIN,Karl-Anthony Towns,Kentucky,7,460,15779,10621,5243,1424,0.527,0.396,0.833
1450,2015,2,LAL,D'Angelo Russell,Ohio State,7,404,11849,7175,1444,2225,0.42,0.359,0.775
1451,2015,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676
1452,2015,4,NYK,Kristaps Porziņģis,,6,320,9907,5995,2499,487,0.442,0.353,0.816
1453,2015,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812
1454,2015,6,SAC,Willie Cauley-Stein,Kentucky,7,420,9270,3675,2468,597,0.544,0.188,0.612
1455,2015,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744
1456,2015,8,DET,Stanley Johnson,Arizona,7,395,7844,2467,1230,565,0.38,0.299,0.755
1457,2015,9,CHA,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,0.429,0.348,0.743
1458,2015,10,MIA,Justise Winslow,Duke,7,310,8022,2587,1590,779,0.414,0.316,0.638
1459,2015,11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,0.489,0.349,0.768
1460,2015,12,UTA,Trey Lyles,Kentucky,7,427,7678,3253,1821,447,0.438,0.336,0.726
1461,2015,13,PHO,Devin Booker,Kentucky,7,460,15468,10695,1788,2126,0.454,0.354,0.869
1462,2015,14,OKC,Cameron Payne,Murray State,7,261,4531,1924,559,767,0.421,0.365,0.835
1463,2015,15,ATL,Kelly Oubre Jr.,Kansas,7,457,11600,5508,1995,461,0.433,0.329,0.754
1464,2015,16,BOS,Terry Rozier,Louisville,7,455,11701,5584,1770,1400,0.413,0.373,0.815
1465,2015,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692
1466,2015,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606
1467,2015,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77
1468,2015,20,TOR,Delon Wright,Utah,7,387,8088,2840,1251,1189,0.452,0.353,0.795
1469,2015,21,DAL,Justin Anderson,Virginia,6,232,3041,1203,585,160,0.412,0.293,0.776
1470,2015,22,CHI,Bobby Portis,Arkansas,7,432,9277,4751,2803,517,0.47,0.384,0.752
1471,2015,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735
1472,2015,24,CLE,Tyus Jones,Duke,7,435,7926,2604,754,1589,0.435,0.343,0.824
1473,2015,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766
1474,2015,26,SAS,Nikola Milutinov,,,,,,,,,,
1475,2015,27,LAL,Larry Nance Jr.,Wyoming,7,387,9345,3144,2538,739,0.528,0.33,0.684
1476,2015,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818
1477,2015,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548
1478,2015,30,GSW,Kevon Looney,UCLA,7,344,5545,1603,1600,436,0.562,0.172,0.615
1479,2015,31,MIN,Cedi Osman,,5,307,7593,3058,1015,654,0.42,0.349,0.719
1480,2015,32,HOU,Montrezl Harrell,Louisville,7,437,9468,5686,2338,598,0.619,0.12,0.659
1481,2015,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605
1482,2015,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85
1483,2015,35,PHI,Willy Hernangómez,,6,287,4356,2084,1677,308,0.537,0.314,0.692
1484,2015,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724
1485,2015,37,PHI,Richaun Holmes,Bowling Green,7,372,7861,3586,2152,401,0.606,0.256,0.745
1486,2015,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747
1487,2015,39,CHA,Juan Pablo Vaulet,,,,,,,,,,
1488,2015,40,MIA,Josh Richardson,Tennessee,7,418,12533,5034,1317,1125,0.428,0.361,0.834
1489,2015,41,BRK,Pat Connaughton,Notre Dame,7,406,7483,2367,1355,505,0.447,0.366,0.791
1490,2015,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,
1491,2015,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768
1492,2015,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779
1493,2015,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,
1494,2015,46,MIL,Norman Powell,UCLA,7,419,9378,4732,1083,623,0.462,0.382,0.831
1495,2015,47,PHI,Artūras Gudaitis,,,,,,,,,,
1496,2015,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55
1497,2015,49,WAS,Aaron White,Iowa,,,,,,,,,
1498,2015,50,ATL,Marcus Eriksson,,,,,,,,,,
1499,2015,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,
1500,2015,52,DAL,Satnam Singh,,,,,,,,,,
1501,2015,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,
1502,2015,54,UTA,Dani Díez,,,,,,,,,,
1503,2015,55,SAS,Cady Lalanne,UMass,,,,,,,,,
1504,2015,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1
1505,2015,57,DEN,Nikola Radičević,,,,,,,,,,
1506,2015,58,PHI,J.P. Tokoto,UNC,,,,,,,,,
1507,2015,59,ATL,Dimitrios Agravanis,,,,,,,,,,
1508,2015,60,PHI,Luka Mitrović,,,,,,,,,,
1389,2014,1,CLE,Andrew Wiggins,Kansas,8,579,20319,11220,2553,1348,0.449,0.351,0.727
1390,2014,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743
1391,2014,3,PHI,Joel Embiid,Kansas,6,306,9458,7817,3450,1003,0.488,0.335,0.809
1392,2014,4,ORL,Aaron Gordon,Arizona,8,506,14584,6530,3178,1264,0.457,0.322,0.699
1393,2014,5,UTA,Dante Exum,,6,245,4545,1389,441,515,0.407,0.305,0.764
1394,2014,6,BOS,Marcus Smart,Oklahoma State,8,499,14825,5161,1794,2168,0.38,0.319,0.778
1395,2014,7,LAL,Julius Randle,Kentucky,8,503,15635,8874,4680,1769,0.476,0.333,0.743
1396,2014,8,SAC,Nik Stauskas,Michigan,6,337,6686,2283,691,514,0.389,0.354,0.814
1397,2014,9,CHA,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,0.459,0.308,0.691
1398,2014,10,PHI,Elfrid Payton,Louisiana,8,488,13278,5013,1995,2851,0.448,0.289,0.624
1399,2014,11,DEN,Doug McDermott,Creighton,8,519,10842,4781,1229,482,0.477,0.412,0.819
1400,2014,12,ORL,Dario Šarić,,5,356,8965,4180,2086,699,0.441,0.357,0.838
1401,2014,13,MIN,Zach LaVine,UCLA,8,458,14515,8987,1796,1767,0.461,0.387,0.83
1402,2014,14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,0.507,0.357,0.78
1403,2014,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68
1404,2014,16,CHI,Jusuf Nurkić,,8,411,9815,5015,3513,903,0.5,0.232,0.672
1405,2014,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563
1406,2014,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768
1407,2014,19,CHI,Gary Harris,Michigan State,8,459,13270,5442,1151,957,0.449,0.362,0.809
1408,2014,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,0.403,0.308,0.836
1409,2014,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58
1410,2014,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607
1411,2014,23,UTA,Rodney Hood,Duke,8,437,10863,4622,1151,729,0.419,0.364,0.841
1412,2014,24,CHA,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815
1413,2014,25,HOU,Clint Capela,,8,447,11974,5566,4749,443,0.622,0,0.528
1414,2014,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81
1415,2014,27,PHO,Bogdan Bogdanović,,5,293,8342,4082,987,999,0.44,0.386,0.816
1416,2014,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813
1417,2014,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24
1418,2014,30,SAS,Kyle Anderson,UCLA,8,483,10121,3202,2098,1109,0.476,0.335,0.714
1419,2014,31,MIL,Damien Inglis,,1,20,156,36,31,10,0.351,0.231,0.875
1420,2014,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776
1421,2014,33,CLE,Joe Harris,Virginia,8,414,10601,4584,1344,679,0.483,0.439,0.78
1422,2014,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75
1423,2014,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,0.581,,0.531
1424,2014,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,0.402,0.36,0.663
1425,2014,37,TOR,DeAndre Daniels,UConn,,,,,,,,,
1426,2014,38,DET,Spencer Dinwiddie,Colorado,8,366,9610,4691,1101,1849,0.406,0.317,0.793
1427,2014,39,PHI,Jerami Grant,Syracuse,8,541,14016,6052,2139,719,0.452,0.346,0.719
1428,2014,40,MIN,Glenn Robinson III,Michigan,7,304,5299,1804,776,238,0.457,0.373,0.779
1429,2014,41,DEN,Nikola Jokić,,7,505,15260,9712,5155,3107,0.538,0.351,0.831
1430,2014,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,0.347,0.238,0.68
1431,2014,43,ATL,Edy Tavares,,2,13,101,33,32,4,0.625,,0.273
1432,2014,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,0.38,0.295,0.781
1433,2014,45,CHA,Dwight Powell,Stanford,8,488,9136,3643,2205,493,0.577,0.298,0.744
1434,2014,46,WAS,Jordan Clarkson,Missouri,8,576,15502,8801,1882,1463,0.439,0.34,0.828
1435,2014,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,0.319,0.188,0.769
1436,2014,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,0.326,0.236,0.72
1437,2014,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,0.296,0.2,0.846
1438,2014,50,PHO,Alec Brown,Green Bay,,,,,,,,,
1439,2014,51,NYK,Thanasis Antetokounmpo,,4,116,1044,325,227,80,0.491,0.157,0.522
1440,2014,52,PHI,Vasilije Micić,,,,,,,,,,
1441,2014,53,MIN,Alessandro Gentile,,,,,,,,,,
1442,2014,54,PHI,Nemanja Dangubić,,,,,,,,,,
1443,2014,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,0.345,0.19,0.548
1444,2014,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,0.304,0.222,0.375
1445,2014,57,IND,Louis Labeyrie,,,,,,,,,,
1446,2014,58,SAS,Jordan McRae,Tennessee,4,123,1696,846,225,167,0.417,0.355,0.772
1447,2014,59,TOR,Xavier Thames,San Diego State,,,,,,,,,
1448,2014,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,0.444,0.125,0.583
1329,2013,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67
1330,2013,2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,0.438,0.347,0.791
1331,2013,3,WAS,Otto Porter Jr.,Georgetown,9,489,12718,5223,2440,746,0.478,0.401,0.791
1332,2013,4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731
1333,2013,5,PHO,Alex Len,Maryland,9,564,10706,4342,3333,485,0.507,0.331,0.683
1334,2013,6,NOP,Nerlens Noel,Kentucky,8,450,10086,3303,2789,491,0.549,0.154,0.655
1335,2013,7,SAC,Ben McLemore,Kansas,9,534,12037,4743,1232,540,0.414,0.364,0.776
1336,2013,8,DET,Kentavious Caldwell-Pope,Georgia,9,661,19263,7530,2076,1098,0.418,0.358,0.809
1337,2013,9,MIN,Trey Burke,Michigan,9,488,10306,4759,873,1511,0.412,0.345,0.812
1338,2013,10,POR,CJ McCollum,Lehigh,9,569,17929,10852,1955,1919,0.454,0.397,0.819
1339,2013,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706
1340,2013,12,OKC,Steven Adams,Pitt,9,644,17276,6022,5080,906,0.588,0.077,0.549
1341,2013,13,DAL,Kelly Olynyk,Gonzaga,9,591,13063,5984,3012,1195,0.475,0.364,0.779
1342,2013,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751
1343,2013,15,MIL,Giannis Antetokounmpo,,9,638,20754,13762,5922,2928,0.533,0.29,0.718
1344,2013,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64
1345,2013,17,ATL,Dennis Schröder,,9,609,16130,8679,1791,2842,0.436,0.337,0.832
1346,2013,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777
1347,2013,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.842
1348,2013,20,CHI,Tony Snell,New Mexico,9,589,12870,3608,1346,663,0.431,0.394,0.845
1349,2013,21,UTA,Gorgui Dieng,Louisville,9,590,12228,4448,3418,779,0.5,0.365,0.791
1350,2013,22,BRK,Mason Plumlee,Duke,9,639,14274,5349,4222,1542,0.582,0.049,0.561
1351,2013,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797
1352,2013,24,NYK,Tim Hardaway Jr.,Michigan,9,586,15837,8149,1650,1095,0.422,0.358,0.812
1353,2013,25,LAC,Reggie Bullock,UNC,9,415,9115,3200,1021,492,0.431,0.388,0.846
1354,2013,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,0.473,0.253,0.468
1355,2013,27,DEN,Rudy Gobert,,9,589,17595,7254,6802,786,0.651,0,0.635
1356,2013,28,SAS,Livio Jean-Charles,,,,,,,,,,
1357,2013,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7
1358,2013,30,PHO,Nemanja Nedović,,1,24,142,26,15,13,0.205,0.167,0.875
1359,2013,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831
1360,2013,32,OKC,Álex Abrines,,3,174,2777,924,248,88,0.387,0.368,0.88
1361,2013,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,0.5,0.4,0.75
1362,2013,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,0.371,0.351,0.836
1363,2013,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,0.269,0.25,0.692
1364,2013,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711
1365,2013,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579
1366,2013,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,0.423,0.261,0.635
1367,2013,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,0.525,0.143,0.716
1368,2013,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,0.269,0.067,1
1369,2013,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,0.415,0.462,1
1370,2013,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,0.333,0.273,0.857
1371,2013,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,0.336,0.371,0.769
1372,2013,44,DAL,Mike Muscala,Bucknell,9,432,6694,2666,1371,378,0.458,0.377,0.847
1373,2013,45,POR,Marko Todorović,,,,,,,,,,
1374,2013,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,0.377,0.288,0.857
1375,2013,47,ATL,Raul Neto,,7,366,5884,2167,574,753,0.453,0.363,0.801
1376,2013,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797
1377,2013,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,
1378,2013,50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,0.457,0.36,0.797
1379,2013,51,ORL,Romero Osby,Oklahoma,,,,,,,,,
1380,2013,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707
1381,2013,53,IND,Colton Iverson,Colorado State,,,,,,,,,
1382,2013,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,
1383,2013,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,0.479,0.285,0.719
1384,2013,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733
1385,2013,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,
1386,2013,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,
1387,2013,59,MIN,Bojan Dubljević,,,,,,,,,,
1388,2013,60,MEM,Jānis Timma,,,,,,,,,,
1269,2012,1,NOP,Anthony Davis,Kentucky,10,601,20698,14318,6129,1399,0.515,0.303,0.794
1270,2012,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715
1271,2012,3,WAS,Bradley Beal,Florida,10,645,22418,14231,2641,2701,0.456,0.372,0.821
1272,2012,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694
1273,2012,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505
1274,2012,6,POR,Damian Lillard,Weber State,10,711,25835,17510,2976,4726,0.437,0.373,0.893
1275,2012,7,GSW,Harrison Barnes,UNC,10,725,23028,10235,3720,1326,0.453,0.38,0.804
1276,2012,8,TOR,Terrence Ross,Washington,10,658,16412,7436,1875,826,0.418,0.364,0.839
1277,2012,9,DET,Andre Drummond,UConn,10,697,20799,9684,9309,976,0.538,0.133,0.471
1278,2012,10,NOP,Austin Rivers,Duke,10,632,15285,5604,1319,1398,0.418,0.35,0.647
1279,2012,11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809
1280,2012,12,HOU,Jeremy Lamb,UConn,10,557,11605,5685,2019,879,0.44,0.344,0.857
1281,2012,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611
1282,2012,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568
1283,2012,15,PHI,Maurice Harkless,St. John's,10,615,13971,4250,2191,571,0.474,0.32,0.624
1284,2012,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,,
1285,2012,17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,0.508,0.286,0.764
1286,2012,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621
1287,2012,19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,0.467,0.321,0.773
1288,2012,20,DEN,Evan Fournier,,10,622,17798,8923,1729,1610,0.447,0.381,0.801
1289,2012,21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723
1290,2012,22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,0.5,,0.25
1291,2012,23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847
1292,2012,24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,0.347,0.306,0.674
